no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets,loan_to_income,loan_to_asset
2,Graduate,0,9600000,29900000,12,778,8000000,Approved,8000000,3.114583008897603,3.737499532812558
0,Not Graduate,1,4100000,12200000,8,417,3300000,Rejected,3300000,2.975609030339261,3.696968576676189
3,Graduate,0,9100000,29700000,20,506,12800000,Rejected,12800000,3.2637359050839665,2.3203123187256
3,Graduate,0,8200000,30700000,8,467,7900000,Rejected,7900000,3.7439019824509776,3.886075457458803
5,Not Graduate,1,9800000,24200000,20,382,5000000,Rejected,5000000,2.4693875031237242,4.839999032000193
0,Graduate,1,4800000,13500000,10,319,5100000,Rejected,5100000,2.8124994140626223,2.6470583044983718
5,Graduate,0,8700000,33000000,4,678,4300000,Approved,4300000,3.79310301228701,7.674416819903065
2,Graduate,1,5700000,15000000,20,382,6000000,Rejected,6000000,2.631578485687985,2.4999995833334028
0,Graduate,1,800000,2200000,20,782,600000,Approved,600000,2.749996562504297,3.6666605555657408
5,Not Graduate,0,1100000,4300000,10,388,1600000,Rejected,1600000,3.9090873553751315,2.6874983203135496
4,Graduate,1,2900000,11200000,2,547,3100000,Approved,3100000,3.8620676337697812,3.612902060354174
2,Not Graduate,1,6700000,22700000,18,538,6400000,Rejected,6400000,3.3880591958120605,3.5468744458008676
3,Not Graduate,1,5000000,11600000,16,311,4300000,Rejected,4300000,2.319999536000093,2.6976737912386533
2,Graduate,1,9100000,31500000,14,679,5000000,Approved,5000000,3.461538081149661,6.299998740000252
1,Not Graduate,0,1900000,7400000,6,469,1900000,Rejected,1900000,3.8947347922448463,3.8947347922448463
5,Not Graduate,0,4700000,10700000,10,794,4400000,Approved,4400000,2.2765952602988806,2.431817629132357
2,Graduate,1,500000,1600000,4,663,700000,Approved,700000,3.1999936000128,2.285711020412828
4,Not Graduate,1,2900000,9400000,14,780,4300000,Approved,4300000,3.2413781926282095,2.1860460032451154
2,Graduate,0,2700000,10300000,10,736,3300000,Approved,3300000,3.8148134019209623,3.121211175390553
5,Graduate,0,6300000,14600000,12,652,5900000,Approved,5900000,2.317459949609532,2.474575851766805
2,Graduate,0,5000000,19400000,12,315,6100000,Rejected,6100000,3.879999224000155,3.18032734748732
4,Graduate,0,5800000,14000000,16,530,5400000,Rejected,5400000,2.4137926872771227,2.5925921124829423
4,Graduate,1,6500000,25700000,18,311,8500000,Rejected,8500000,3.9538455455622237,3.023529056055405
0,Not Graduate,1,500000,1400000,2,551,300000,Approved,300000,2.7999944000112,4.666651111162963
0,Not Graduate,0,4900000,9800000,16,324,3300000,Rejected,3300000,1.999999591836818,2.96969606978907
5,Not Graduate,0,3100000,9500000,20,514,2600000,Rejected,2600000,3.0645151404789868,3.6538447485212506
4,Graduate,0,8200000,28100000,12,696,7200000,Approved,7200000,3.4268288503867255,3.902777235725384
4,Not Graduate,1,2400000,5600000,4,662,2500000,Approved,2500000,2.333332361111516,2.2399991040003586
5,Not Graduate,1,7000000,24000000,6,336,9700000,Rejected,9700000,3.42857093877558,2.4742265490488093
3,Not Graduate,1,9000000,31500000,10,850,8000000,Approved,8000000,3.4999996111111544,3.9374995078125616
2,Not Graduate,0,9800000,25300000,12,313,9300000,Rejected,9300000,2.581632389629348,2.720429815007547
2,Graduate,0,5700000,12000000,6,363,4300000,Rejected,4300000,2.105262788550388,2.790697025419296
1,Not Graduate,1,800000,1600000,10,436,1000000,Rejected,1000000,1.999997500003125,1.5999984000016
5,Not Graduate,1,8400000,22000000,2,830,5400000,Approved,5400000,2.619047307256273,4.074073319616052
3,Graduate,0,4900000,11900000,8,612,5800000,Approved,5800000,2.4285709329447074,2.0517237841855542
2,Graduate,1,1700000,3400000,8,691,900000,Approved,900000,1.9999988235301038,3.7777735802515773
3,Not Graduate,0,1600000,6200000,18,636,1400000,Approved,1400000,3.874997578126514,4.428568265308382
5,Graduate,1,8000000,27200000,6,348,7100000,Rejected,7100000,3.399999575000053,3.8309853759175527
