loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
1,2,Graduate,0,9600000,29900000,12,778,8000000,Approved
2,0,Not Graduate,1,4100000,12200000,8,417,3300000,Rejected
3,3,Graduate,0,9100000,29700000,20,506,12800000,Rejected
4,3,Graduate,0,8200000,30700000,8,467,7900000,Rejected
5,5,Not Graduate,1,9800000,24200000,20,382,5000000,Rejected
6,0,Graduate,1,4800000,13500000,10,319,5100000,Rejected
7,5,Graduate,0,8700000,33000000,4,678,4300000,Approved
8,2,Graduate,1,5700000,15000000,20,382,6000000,Rejected
9,0,Graduate,1,800000,2200000,20,782,600000,Approved
10,5,Not Graduate,0,1100000,4300000,10,388,1600000,Rejected
11,4,Graduate,1,2900000,11200000,2,547,3100000,Approved
12,2,Not Graduate,1,6700000,22700000,18,538,6400000,Rejected
13,3,Not Graduate,1,5000000,11600000,16,311,4300000,Rejected
14,2,Graduate,1,9100000,31500000,14,679,5000000,Approved
15,1,Not Graduate,0,1900000,7400000,6,469,1900000,Rejected
16,5,Not Graduate,0,4700000,10700000,10,794,4400000,Approved
17,2,Graduate,1,500000,1600000,4,663,700000,Approved
18,4,Not Graduate,1,2900000,9400000,14,780,4300000,Approved
19,2,Graduate,0,2700000,10300000,10,736,3300000,Approved
20,5,Graduate,0,6300000,14600000,12,652,5900000,Approved
21,2,Graduate,0,5000000,19400000,12,315,6100000,Rejected
22,4,Graduate,0,5800000,14000000,16,530,5400000,Rejected
23,4,Graduate,1,6500000,25700000,18,311,8500000,Rejected
24,0,Not Graduate,1,500000,1400000,2,551,300000,Approved
25,0,Not Graduate,0,4900000,9800000,16,324,3300000,Rejected
26,5,Not Graduate,0,3100000,9500000,20,514,2600000,Rejected
27,4,Graduate,0,8200000,28100000,12,696,7200000,Approved
28,4,Not Graduate,1,2400000,5600000,4,662,2500000,Approved
29,5,Not Graduate,1,7000000,24000000,6,336,9700000,Rejected
30,3,Not Graduate,1,9000000,31500000,10,850,8000000,Approved
31,2,Not Graduate,0,9800000,25300000,12,313,9300000,Rejected
32,2,Graduate,0,5700000,12000000,6,363,4300000,Rejected
33,1,Not Graduate,1,800000,1600000,10,436,1000000,Rejected
34,5,Not Graduate,1,8400000,22000000,2,830,5400000,Approved
35,3,Graduate,0,4900000,11900000,8,612,5800000,Approved
36,2,Graduate,1,1700000,3400000,8,691,900000,Approved
37,3,Not Graduate,0,1600000,6200000,18,636,1400000,Approved
38,5,Graduate,1,8000000,27200000,6,348,7100000,Rejected
39,5,Graduate,0,3600000,7700000,16,830,2900000,Approved
40,3,Not Graduate,1,1500000,5100000,6,352,900000,Rejected
41,1,Graduate,0,7800000,18100000,2,712,9000000,Approved
42,2,Not Graduate,0,9100000,24900000,16,822,5200000,Approved
43,3,Graduate,0,1400000,3400000,6,540,800000,Rejected
44,2,Graduate,1,800000,2300000,12,342,800000,Rejected
45,5,Graduate,0,6500000,13400000,18,787,5400000,Approved
46,4,Graduate,0,8000000,27800000,16,331,10900000,Rejected
47,3,Not Graduate,1,4200000,14600000,6,679,4900000,Approved
48,1,Graduate,1,4900000,19100000,14,677,6500000,Approved
49,3,Not Graduate,0,5500000,20500000,12,634,8200000,Approved
50,1,Not Graduate,1,9500000,19100000,16,662,11700000,Approved
51,4,Graduate,0,7300000,25400000,16,502,10500000,Rejected
52,2,Graduate,0,8700000,24700000,10,435,11300000,Rejected
53,5,Not Graduate,0,3800000,7600000,4,689,3400000,Approved
54,1,Not Graduate,1,8400000,23000000,12,657,8200000,Approved
55,2,Graduate,1,5100000,19700000,20,590,3400000,Approved
56,5,Not Graduate,0,6700000,24500000,12,818,6200000,Approved
57,2,Not Graduate,0,4300000,10600000,18,431,5200000,Rejected
58,5,Graduate,1,9300000,30500000,18,841,8700000,Approved
59,1,Graduate,0,7400000,18400000,20,421,4100000,Rejected
60,4,Not Graduate,1,5500000,18200000,16,797,4800000,Approved
61,2,Not Graduate,0,8500000,18900000,18,478,11400000,Rejected
62,3,Not Graduate,1,9600000,30500000,18,669,9300000,Approved
63,5,Not Graduate,1,8800000,28900000,6,365,4700000,Rejected
64,3,Not Graduate,1,3300000,7500000,20,586,2900000,Approved
65,4,Graduate,1,3900000,12300000,18,784,2800000,Approved
66,1,Graduate,0,4100000,10300000,12,364,2800000,Rejected
67,3,Not Graduate,0,8300000,29100000,10,715,11900000,Approved
68,0,Not Graduate,1,2700000,10100000,20,693,1400000,Rejected
69,4,Graduate,0,5600000,12400000,4,777,5500000,Approved
70,0,Graduate,0,1900000,5000000,12,312,2400000,Rejected
71,4,Not Graduate,1,500000,1500000,20,340,600000,Rejected
72,5,Graduate,1,5300000,18600000,4,386,4200000,Approved
73,5,Not Graduate,0,7000000,18300000,4,418,7600000,Rejected
74,3,Not Graduate,1,5800000,16700000,16,735,5600000,Approved
75,2,Not Graduate,0,2600000,8400000,6,494,2000000,Rejected
76,2,Not Graduate,0,1900000,6500000,18,671,1100000,Approved
77,4,Graduate,0,5700000,14800000,16,697,6300000,Approved
78,0,Graduate,0,9000000,33500000,8,801,11100000,Approved
79,2,Not Graduate,0,8500000,29400000,12,576,9000000,Approved
80,0,Not Graduate,0,700000,1400000,14,639,900000,Approved
81,4,Graduate,0,3500000,8900000,4,470,2000000,Rejected
82,0,Not Graduate,0,8800000,31200000,4,826,8600000,Approved
83,2,Not Graduate,1,9900000,21200000,16,363,6800000,Rejected
84,3,Graduate,0,3600000,8600000,20,613,3300000,Approved
85,3,Not Graduate,1,3000000,8200000,16,713,3400000,Approved
86,2,Graduate,0,6800000,21200000,16,439,3600000,Rejected
87,5,Not Graduate,1,1100000,3800000,18,387,1600000,Rejected
88,1,Not Graduate,1,8700000,28300000,8,402,10200000,Rejected
89,4,Graduate,1,2000000,8000000,6,837,2900000,Approved
90,2,Not Graduate,0,9800000,37600000,10,641,7600000,Approved
91,4,Graduate,0,5700000,21100000,18,489,6000000,Rejected
92,4,Graduate,0,8800000,20700000,18,540,12700000,Rejected
93,4,Graduate,0,3800000,8900000,4,844,4700000,Approved
94,1,Graduate,0,1700000,6400000,10,452,2100000,Rejected
95,2,Graduate,0,1000000,2000000,10,366,1300000,Rejected
96,5,Graduate,0,300000,1100000,2,300,400000,Approved
97,2,Graduate,1,6600000,15000000,18,470,7000000,Rejected
98,2,Not Graduate,0,8700000,25000000,20,861,7300000,Approved
99,4,Graduate,0,9400000,29400000,12,562,7100000,Approved
100,0,Graduate,0,4400000,10800000,14,463,4700000,Rejected
101,4,Not Graduate,0,400000,900000,12,478,100000,Rejected
102,2,Not Graduate,1,300000,1100000,2,702,200000,Approved
103,2,Not Graduate,1,4300000,12900000,20,618,2400000,Approved
104,4,Graduate,0,1600000,4500000,12,633,1900000,Approved
105,5,Not Graduate,1,6200000,23600000,10,331,8700000,Rejected
106,3,Not Graduate,1,4200000,9700000,16,841,5100000,Approved
107,4,Not Graduate,1,9000000,18100000,12,764,11600000,Approved
108,0,Graduate,0,2700000,10600000,6,591,1800000,Approved
109,1,Graduate,1,9700000,35900000,2,719,10900000,Approved
110,2,Graduate,0,3300000,6800000,14,317,3600000,Rejected
111,0,Not Graduate,0,300000,1100000,8,778,100000,Approved
112,3,Graduate,1,7400000,18200000,14,302,5000000,Rejected
113,5,Not Graduate,0,7100000,19700000,8,502,9800000,Rejected
114,5,Not Graduate,1,7300000,22100000,18,879,9800000,Approved
115,1,Not Graduate,0,8400000,23400000,14,437,8100000,Rejected
116,0,Not Graduate,1,3300000,10800000,12,797,3300000,Approved
117,4,Not Graduate,1,5800000,23200000,18,456,7500000,Rejected
118,0,Not Graduate,0,600000,1600000,6,647,700000,Approved
119,0,Not Graduate,0,7200000,15800000,12,379,3600000,Rejected
120,1,Not Graduate,1,9100000,32900000,2,717,5900000,Approved
121,5,Graduate,0,900000,2300000,16,545,800000,Rejected
122,2,Graduate,0,800000,3200000,8,317,900000,Rejected
123,1,Not Graduate,0,8500000,32900000,10,570,5500000,Approved
124,0,Not Graduate,1,9000000,18700000,18,865,11300000,Approved
125,3,Graduate,0,7000000,19500000,14,719,10200000,Approved
126,3,Graduate,0,200000,600000,16,821,100000,Approved
127,4,Not Graduate,1,400000,800000,10,859,200000,Approved
128,3,Not Graduate,0,5100000,18200000,10,395,6300000,Rejected
129,2,Not Graduate,1,700000,2600000,12,429,800000,Rejected
130,3,Graduate,0,400000,1200000,12,861,200000,Approved
131,0,Not Graduate,1,9500000,20800000,14,565,13400000,Approved
132,5,Graduate,0,8800000,22600000,10,357,4900000,Rejected
133,3,Not Graduate,1,1800000,3600000,18,465,2600000,Rejected
134,4,Not Graduate,1,6800000,13900000,8,479,9600000,Rejected
135,3,Not Graduate,0,1500000,5500000,16,717,1300000,Approved
136,3,Graduate,0,1600000,5500000,12,425,900000,Rejected
137,2,Not Graduate,0,4600000,16700000,2,786,6100000,Approved
138,5,Not Graduate,1,2200000,6700000,6,382,1100000,Rejected
139,3,Not Graduate,1,2900000,8500000,12,564,1800000,Approved
140,0,Graduate,0,200000,700000,8,501,100000,Rejected
141,2,Not Graduate,1,2500000,9400000,10,727,3300000,Approved
142,4,Not Graduate,0,3600000,7500000,6,894,2800000,Approved
143,0,Graduate,1,5500000,16700000,18,829,5900000,Approved
144,4,Not Graduate,0,6600000,17400000,20,506,7200000,Rejected
145,2,Graduate,1,8600000,32100000,6,802,9800000,Approved
146,5,Not Graduate,0,600000,1500000,14,543,300000,Rejected
147,3,Graduate,1,1400000,3200000,20,772,1600000,Approved
148,3,Graduate,0,4000000,11100000,12,572,2400000,Approved
149,0,Not Graduate,1,4900000,11900000,16,709,3800000,Approved
150,5,Graduate,0,2000000,6200000,18,402,1100000,Rejected
151,1,Not Graduate,1,5200000,19300000,8,481,4200000,Rejected
152,5,Graduate,1,8900000,28800000,6,772,8400000,Approved
153,1,Graduate,1,6500000,20600000,2,306,3200000,Approved
154,2,Not Graduate,0,1300000,4500000,6,415,1200000,Rejected
155,3,Not Graduate,0,9400000,35000000,16,548,4800000,Rejected
156,5,Not Graduate,0,5000000,11200000,8,701,4600000,Approved
157,2,Graduate,0,3000000,7700000,12,890,2100000,Approved
158,5,Not Graduate,1,9900000,33300000,6,364,8300000,Rejected
159,5,Graduate,1,700000,1300000,20,704,600000,Approved
160,3,Graduate,1,4000000,10600000,10,318,4900000,Rejected
161,5,Not Graduate,0,3100000,9600000,2,761,4200000,Approved
162,4,Not Graduate,0,4500000,15100000,6,693,6000000,Approved
163,3,Not Graduate,0,9700000,20600000,16,524,6100000,Rejected
164,2,Not Graduate,1,2000000,5300000,10,681,2900000,Approved
165,2,Graduate,1,8100000,22300000,18,737,7300000,Approved
166,0,Not Graduate,0,5700000,15900000,16,638,4500000,Approved
167,4,Not Graduate,0,5800000,12800000,2,656,2800000,Approved
168,1,Graduate,0,1800000,6500000,6,540,1100000,Rejected
169,4,Not Graduate,1,9100000,35200000,6,341,8200000,Rejected
170,0,Not Graduate,1,4800000,17500000,2,371,3500000,Approved
171,3,Not Graduate,1,3800000,10500000,12,886,2300000,Approved
172,0,Not Graduate,0,1900000,4100000,18,801,1200000,Approved
173,3,Not Graduate,1,3600000,9500000,16,748,2600000,Approved
174,2,Not Graduate,1,7400000,28200000,8,376,5200000,Rejected
175,4,Not Graduate,1,6600000,14300000,8,371,7400000,Rejected
176,2,Graduate,0,1800000,5300000,6,826,1300000,Approved
177,4,Not Graduate,0,9200000,27200000,12,873,11400000,Approved
178,5,Not Graduate,1,2400000,8600000,8,309,2800000,Rejected
179,4,Not Graduate,0,5600000,13300000,20,869,6500000,Approved
180,5,Graduate,0,3800000,13900000,12,534,2800000,Rejected
181,3,Not Graduate,1,4500000,17900000,6,787,4200000,Approved
182,0,Graduate,1,900000,2200000,16,566,600000,Approved
183,0,Not Graduate,0,2800000,9900000,8,742,1700000,Approved
184,2,Not Graduate,0,7500000,23100000,4,824,9500000,Approved
185,4,Graduate,0,1400000,3100000,14,575,1400000,Approved
186,2,Graduate,1,3800000,10900000,10,766,3000000,Approved
187,1,Not Graduate,1,1700000,5000000,10,888,2200000,Approved
188,3,Graduate,1,9000000,30400000,6,638,9200000,Approved
189,5,Not Graduate,1,7300000,23300000,6,622,10500000,Approved
190,1,Not Graduate,0,7400000,19800000,18,458,4000000,Rejected
191,1,Not Graduate,0,9000000,28200000,16,327,11200000,Rejected
192,0,Not Graduate,0,3000000,6500000,2,612,1700000,Approved
193,1,Graduate,0,800000,2900000,8,682,700000,Approved
194,2,Graduate,0,4800000,13200000,2,583,5200000,Approved
195,5,Not Graduate,0,6400000,18300000,8,697,3600000,Approved
196,3,Graduate,0,9200000,27100000,12,306,9600000,Rejected
197,4,Not Graduate,1,400000,1500000,2,669,500000,Approved
198,2,Not Graduate,0,2800000,6000000,18,816,3400000,Approved
199,4,Not Graduate,1,8500000,28900000,20,455,9400000,Rejected
200,3,Graduate,1,4700000,16400000,10,318,4300000,Rejected
201,4,Not Graduate,1,9800000,21200000,20,355,14400000,Rejected
202,2,Not Graduate,1,3800000,8900000,16,389,2200000,Rejected
203,2,Graduate,0,500000,1500000,2,888,600000,Approved
204,2,Graduate,1,6900000,15600000,6,352,10000000,Rejected
205,4,Not Graduate,1,9600000,30100000,12,870,5600000,Approved
206,3,Not Graduate,0,2900000,6500000,18,827,3200000,Approved
207,2,Graduate,0,9800000,20900000,12,768,13400000,Approved
208,0,Graduate,0,7100000,15400000,18,707,5800000,Approved
209,1,Not Graduate,1,7700000,19100000,10,355,6600000,Rejected
210,3,Graduate,0,1400000,3300000,2,652,1900000,Approved
211,3,Graduate,0,7800000,15900000,2,665,5400000,Approved
212,5,Not Graduate,1,1700000,6000000,18,420,2300000,Rejected
213,2,Not Graduate,0,8500000,32700000,18,471,12500000,Rejected
214,5,Not Graduate,0,1900000,7500000,20,715,2800000,Approved
215,2,Not Graduate,1,6700000,15200000,10,689,6800000,Approved
216,3,Graduate,1,6900000,16400000,4,787,3800000,Approved
217,2,Graduate,0,2600000,7800000,4,819,1500000,Approved
218,4,Graduate,1,9600000,21100000,6,809,8700000,Approved
219,1,Not Graduate,1,6800000,17000000,2,744,3500000,Approved
220,0,Not Graduate,0,3200000,11300000,6,484,2100000,Rejected
221,4,Not Graduate,0,2900000,10400000,6,673,1700000,Approved
222,3,Graduate,1,7900000,21200000,18,695,4900000,Approved
223,4,Not Graduate,1,3900000,12400000,12,473,3800000,Rejected
224,4,Graduate,1,4600000,11000000,2,491,3500000,Rejected
225,3,Not Graduate,1,700000,1700000,8,733,500000,Approved
226,0,Not Graduate,0,5200000,15600000,20,434,5500000,Rejected
227,3,Not Graduate,1,5900000,20600000,10,777,6400000,Approved
228,4,Graduate,0,7200000,19100000,4,774,3600000,Approved
229,1,Not Graduate,1,8700000,27000000,10,717,9100000,Approved
230,3,Not Graduate,1,1100000,3500000,12,503,1200000,Rejected
231,1,Graduate,1,4000000,10900000,14,598,4400000,Approved
232,2,Graduate,0,9800000,32400000,2,543,7700000,Approved
233,0,Not Graduate,1,2700000,6800000,20,796,1900000,Approved
234,3,Not Graduate,1,8800000,34600000,8,386,6000000,Rejected
235,5,Not Graduate,1,3300000,7800000,16,632,4900000,Approved
236,1,Graduate,1,6900000,23400000,4,481,10200000,Approved
237,3,Graduate,1,900000,3500000,4,770,600000,Rejected
238,3,Graduate,1,4100000,15500000,6,667,4000000,Approved
239,3,Not Graduate,1,4700000,17500000,8,585,4900000,Approved
240,5,Graduate,1,3400000,11600000,16,479,2400000,Rejected
241,2,Graduate,0,9600000,22500000,18,851,12700000,Approved
242,3,Not Graduate,1,7000000,16200000,6,378,5500000,Rejected
243,5,Graduate,0,5700000,12900000,18,807,5500000,Approved
244,1,Not Graduate,1,8200000,32400000,18,831,7800000,Approved
245,2,Not Graduate,0,2100000,5100000,12,674,2400000,Approved
246,1,Not Graduate,1,8000000,28100000,18,725,7500000,Approved
247,2,Not Graduate,0,8000000,29300000,4,600,6500000,Approved
