loan_id,no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
1,5, Graduate,0,80000.0,220000.0,3.0,747,55000.0, Rejected
2,1, Not Graduate,1,350000.0,1360000.0,23.0,786,430000.0, Approved
3,1, Not Graduate,1,250000.0,1270000.0,15.0,643,325000.0, Rejected
4,2, Graduate,0,70000.0,450000.0,16.0,617,75000.0, Rejected
5,4, Graduate,0,40000.0,640000.0,10.0,674,10000.0, Rejected
6,0, Graduate,0,50000.0,650000.0,14.0,767,5000.0, Rejected
7,1, Graduate,0,100000.0,370000.0,16.0,816,35000.0, Rejected
8,0, Not Graduate,0,30000.0,130000.0,2.0,672,10000.0, Rejected
9,3, Graduate,1,1220000.0,4710000.0,24.0,898,1360000.0, Rejected
10,3, Not Graduate,0,0.0,260000.0,1.0,386,0.0, Rejected
11,4, Graduate,0,0.0,450000.0,20.0,721,0.0, Rejected
12,1, Not Graduate,0,110000.0,360000.0,17.0,855,50000.0, Rejected
13,2, Not Graduate,1,350000.0,1380000.0,17.0,767,110000.0, Approved
14,1, Graduate,0,70000.0,330000.0,10.0,621,25000.0, Rejected
15,0, Graduate,1,660000.0,4580000.0,10.0,679,435000.0, Rejected
16,5, Graduate,0,0.0,360000.0,10.0,900,0.0, Rejected
17,3, Graduate,1,370000.0,1550000.0,22.0,733,170000.0, Rejected
18,0, Graduate,1,1300000.0,4100000.0,21.0,669,1400000.0, Approved
19,4, Graduate,0,80000.0,360000.0,23.0,424,65000.0, Rejected
20,3, Graduate,0,30000.0,390000.0,13.0,760,40000.0, Rejected
21,2, Graduate,0,80000.0,210000.0,3.0,368,35000.0, Rejected
22,3, Graduate,0,10000.0,650000.0,19.0,610,5000.0, Rejected
23,5, Graduate,1,1000000.0,6300000.0,24.0,742,235000.0, Rejected
24,1, Graduate,1,660000.0,4210000.0,15.0,667,375000.0, Rejected
25,5, Graduate,1,530000.0,3520000.0,20.0,658,430000.0, Rejected
