no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
0,Graduate,1,440403,323619,36,730,1078469,1
3,Graduate,1,4041987,818414,240,720,9971771,1
2,Graduate,1,2764978,171149,60,709,6525759,1
1,Graduate,1,1308966,343268,36,681,3442636,1
0,Graduate,1,554343,1789112,36,798,834002,0
0,Not Graduate,1,1905974,1052663,240,815,912469,1
0,Graduate,0,177052,51398,360,764,315877,0
2,Graduate,1,1725901,142536,240,749,715922,1
1,Not Graduate,1,1532450,4680363,240,685,2402333,1
2,Not Graduate,1,646238,1757789,36,771,1743159,0
0,Not Graduate,1,1814551,301665,12,742,4135050,1
3,Graduate,1,510029,121974,12,777,571996,1
2,Not Graduate,1,265118,154893,240,725,534358,1
0,Graduate,1,1594980,899110,12,692,2966398,1
0,Graduate,1,681332,3901721,60,726,312409,0
0,Graduate,0,83097,3661038,12,832,465222,0
0,Graduate,1,3130518,111782,12,632,2969046,0
1,Graduate,0,28723,402008,36,737,76649,0
1,Graduate,1,650369,229338,360,662,1577433,1
0,Graduate,1,2560485,619674,12,705,2448766,1
1,Graduate,1,1245422,142762,240,592,1453384,0
0,Graduate,1,416721,313069,36,898,1091861,1
0,Not Graduate,1,339756,227007,12,695,258972,0
0,Graduate,1,478081,912190,60,642,178488,0
1,Graduate,1,404039,322913,36,848,392741,1
2,Graduate,1,881939,372809,360,673,1611794,1
0,Not Graduate,1,776651,900691,36,722,615226,0
1,Not Graduate,1,911995,2792703,36,662,1516856,0
1,Graduate,1,372260,4482876,12,558,650829,0
0,Graduate,1,689231,852571,360,718,1783850,1
1,Graduate,1,140848,494561,240,745,423626,1
0,Not Graduate,1,819135,2015236,120,846,392851,1
0,Not Graduate,1,1867950,1736122,360,763,3960378,1
3,Not Graduate,1,233328,1305127,120,712,172464,0
3,Graduate,1,1073830,111375,120,665,2679933,1
2,Graduate,1,447391,1808802,12,758,145069,0
0,Not Graduate,1,1386094,773129,60,844,511773,1
0,Graduate,1,828123,221083,36,617,1994127,0
1,Graduate,0,28012,275991,36,526,92936,0
1,Graduate,1,768241,967075,360,842,771616,1
0,Not Graduate,1,2110985,50000,240,620,5489484,0
1,Graduate,1,963115,476644,360,570,1970345,0
0,Graduate,1,414845,280670,36,705,293507,1
3,Graduate,1,789355,253484,240,645,1134605,0
