loan_id,no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status
1,2,Graduate,0,9600000,29900000,144,778,8000000,Approved
2,0,Not Graduate,1,4100000,12200000,96,417,3300000,Rejected
3,3,Graduate,0,9100000,29700000,240,506,12800000,Rejected
4,3,Graduate,0,8200000,30700000,96,467,7900000,Rejected
5,5,Not Graduate,1,9800000,24200000,240,382,5000000,Rejected
6,0,Graduate,1,4800000,13500000,120,319,5100000,Rejected
7,5,Graduate,0,8700000,33000000,48,678,4300000,Approved
8,2,Graduate,1,5700000,15000000,240,382,6000000,Rejected
9,0,Graduate,1,800000,2200000,240,782,600000,Approved
10,5,Not Graduate,0,1100000,4300000,120,388,1600000,Rejected
11,4,Graduate,1,2900000,11200000,24,547,3100000,Approved
12,2,Not Graduate,1,6700000,22700000,216,538,6400000,Rejected
13,3,Not Graduate,1,5000000,11600000,192,311,4300000,Rejected
14,2,Graduate,1,9100000,31500000,168,679,5000000,Approved
15,1,Not Graduate,0,1900000,7400000,72,469,1900000,Rejected
16,5,Not Graduate,0,4700000,10700000,120,794,4400000,Approved
17,2,Graduate,1,500000,1600000,48,663,700000,Approved
18,4,Not Graduate,1,2900000,9400000,168,780,4300000,Approved
19,2,Graduate,0,2700000,10300000,120,736,3300000,Approved
20,5,Graduate,0,6300000,14600000,144,652,5900000,Approved
21,2,Graduate,0,5000000,19400000,144,315,6100000,Rejected
22,4,Graduate,0,5800000,14000000,192,530,5400000,Rejected
23,4,Graduate,1,6500000,25700000,216,311,8500000,Rejected
24,0,Not Graduate,1,500000,1400000,24,551,300000,Approved
25,0,Not Graduate,0,4900000,9800000,192,324,3300000,Rejected
26,5,Not Graduate,0,3100000,9500000,240,514,2600000,Rejected
27,4,Graduate,0,8200000,28100000,144,696,7200000,Approved
28,4,Not Graduate,1,2400000,5600000,48,662,2500000,Approved
29,5,Not Graduate,1,7000000,24000000,72,336,9700000,Rejected
30,3,Not Graduate,1,9000000,31500000,120,850,8000000,Approved
31,2,Not Graduate,0,9800000,25300000,144,313,9300000,Rejected
32,2,Graduate,0,5700000,12000000,72,363,4300000,Rejected
33,1,Not Graduate,1,800000,1600000,120,436,1000000,Rejected
34,5,Not Graduate,1,8400000,22000000,24,830,5400000,Approved
35,3,Graduate,0,4900000,11900000,96,612,5800000,Approved
36,2,Graduate,1,1700000,3400000,96,691,900000,Approved
37,3,Not Graduate,0,1600000,6200000,216,636,1400000,Approved
38,5,Graduate,1,8000000,27200000,72,348,7100000,Rejected
39,5,Graduate,0,3600000,7700000,192,830,2900000,Approved
40,3,Not Graduate,1,1500000,5100000,72,352,900000,Rejected
41,1,Graduate,0,7800000,18100000,24,712,9000000,Approved
42,2,Not Graduate,0,9100000,24900000,192,822,5200000,Approved
43,3,Graduate,0,1400000,3400000,72,540,800000,Rejected
44,2,Graduate,1,800000,2300000,144,342,800000,Rejected
45,5,Graduate,0,6500000,13400000,216,787,5400000,Approved
46,4,Graduate,0,8000000,27800000,192,331,10900000,Rejected
47,3,Not Graduate,1,4200000,14600000,72,679,4900000,Approved
48,1,Graduate,1,4900000,19100000,168,677,6500000,Approved
49,3,Not Graduate,0,5500000,20500000,144,634,8200000,Approved
50,1,Not Graduate,1,9500000,19100000,192,662,11700000,Approved
51,4,Graduate,0,7300000,25400000,192,502,10500000,Rejected
52,2,Graduate,0,8700000,24700000,120,435,11300000,Rejected
53,5,Not Graduate,0,3800000,7600000,48,689,3400000,Approved
54,1,Not Graduate,1,8400000,23000000,144,657,8200000,Approved
55,2,Graduate,1,5100000,19700000,240,590,3400000,Approved
56,5,Not Graduate,0,6700000,24500000,144,818,6200000,Approved
57,2,Not Graduate,0,4300000,10600000,216,431,5200000,Rejected
58,5,Graduate,1,9300000,30500000,216,841,8700000,Approved
59,1,Graduate,0,7400000,18400000,240,421,4100000,Rejected
60,4,Not Graduate,1,5500000,18200000,192,797,4800000,Approved
61,2,Not Graduate,0,8500000,18900000,216,478,11400000,Rejected
62,3,Not Graduate,1,9600000,30500000,216,669,9300000,Approved
63,5,Not Graduate,1,8800000,28900000,72,365,4700000,Rejected
64,3,Not Graduate,1,3300000,7500000,240,586,2900000,Approved
65,4,Graduate,1,3900000,12300000,216,784,2800000,Approved
66,1,Graduate,0,4100000,10300000,144,364,2800000,Rejected
67,3,Not Graduate,0,8300000,29100000,120,715,11900000,Approved
68,0,Not Graduate,1,2700000,10100000,240,693,1400000,Rejected
69,4,Graduate,0,5600000,12400000,48,777,5500000,Approved
70,0,Graduate,0,1900000,5000000,144,312,2400000,Rejected
71,4,Not Graduate,1,500000,1500000,240,340,600000,Rejected
72,5,Graduate,1,5300000,18600000,48,386,4200000,Approved
73,5,Not Graduate,0,7000000,18300000,48,418,7600000,Rejected
74,3,Not Graduate,1,5800000,16700000,192,735,5600000,Approved
75,2,Not Graduate,0,2600000,8400000,72,494,2000000,Rejected
76,2,Not Graduate,0,1900000,6500000,216,671,1100000,Approved
77,4,Graduate,0,5700000,14800000,192,697,6300000,Approved
78,0,Graduate,0,9000000,33500000,96,801,11100000,Approved
79,2,Not Graduate,0,8500000,29400000,144,576,9000000,Approved
80,0,Not Graduate,0,700000,1400000,168,639,900000,Approved
81,4,Graduate,0,3500000,8900000,48,470,2000000,Rejected
82,0,Not Graduate,0,8800000,31200000,48,826,8600000,Approved
83,2,Not Graduate,1,9900000,21200000,192,363,6800000,Rejected
84,3,Graduate,0,3600000,8600000,240,613,3300000,Approved
85,3,Not Graduate,1,3000000,8200000,192,713,3400000,Approved
86,2,Graduate,0,6800000,21200000,192,439,3600000,Rejected
87,5,Not Graduate,1,1100000,3800000,216,387,1600000,Rejected
88,1,Not Graduate,1,8700000,28300000,96,402,10200000,Rejected
89,4,Graduate,1,2000000,8000000,72,837,2900000,Approved
90,2,Not Graduate,0,9800000,37600000,120,641,7600000,Approved
91,4,Graduate,0,5700000,21100000,216,489,6000000,Rejected
92,4,Graduate,0,8800000,20700000,216,540,12700000,Rejected
93,4,Graduate,0,3800000,8900000,48,844,4700000,Approved
94,1,Graduate,0,1700000,6400000,120,452,2100000,Rejected
95,2,Graduate,0,1000000,2000000,120,366,1300000,Rejected
96,5,Graduate,0,300000,1100000,24,300,400000,Approved
97,2,Graduate,1,6600000,15000000,216,470,7000000,Rejected
98,2,Not Graduate,0,8700000,25000000,240,861,7300000,Approved
99,4,Graduate,0,9400000,29400000,144,562,7100000,Approved
100,0,Graduate,0,4400000,10800000,168,463,4700000,Rejected
101,4,Not Graduate,0,400000,900000,144,478,100000,Rejected
102,2,Not Graduate,1,300000,1100000,24,702,200000,Approved
103,2,Not Graduate,1,4300000,12900000,240,618,2400000,Approved
104,4,Graduate,0,1600000,4500000,144,633,1900000,Approved
105,5,Not Graduate,1,6200000,23600000,120,331,8700000,Rejected
106,3,Not Graduate,1,4200000,9700000,192,841,5100000,Approved
107,4,Not Graduate,1,9000000,18100000,144,764,11600000,Approved
108,0,Graduate,0,2700000,10600000,72,591,1800000,Approved
109,1,Graduate,1,9700000,35900000,24,719,10900000,Approved
110,2,Graduate,0,3300000,6800000,168,317,3600000,Rejected
111,0,Not Graduate,0,300000,1100000,96,778,100000,Approved
112,3,Graduate,1,7400000,18200000,168,302,5000000,Rejected
113,5,Not Graduate,0,7100000,19700000,96,502,9800000,Rejected
114,5,Not Graduate,1,7300000,22100000,216,879,9800000,Approved
115,1,Not Graduate,0,8400000,23400000,168,437,8100000,Rejected
116,0,Not Graduate,1,3300000,10800000,144,797,3300000,Approved
117,4,Not Graduate,1,5800000,23200000,216,456,7500000,Rejected
118,0,Not Graduate,0,600000,1600000,72,647,700000,Approved
119,0,Not Graduate,0,7200000,15800000,144,379,3600000,Rejected
120,1,Not Graduate,1,9100000,32900000,24,717,5900000,Approved
121,5,Graduate,0,900000,2300000,192,545,800000,Rejected
122,2,Graduate,0,800000,3200000,96,317,900000,Rejected
123,1,Not Graduate,0,8500000,32900000,120,570,5500000,Approved
124,0,Not Graduate,1,9000000,18700000,216,865,11300000,Approved
125,3,Graduate,0,7000000,19500000,168,719,10200000,Approved
126,3,Graduate,0,200000,600000,192,821,100000,Approved
127,4,Not Graduate,1,400000,800000,120,859,200000,Approved
128,3,Not Graduate,0,5100000,18200000,120,395,6300000,Rejected
129,2,Not Graduate,1,700000,2600000,144,429,800000,Rejected
130,3,Graduate,0,400000,1200000,144,861,200000,Approved
131,0,Not Graduate,1,9500000,20800000,168,565,13400000,Approved
132,5,Graduate,0,8800000,22600000,120,357,4900000,Rejected
133,3,Not Graduate,1,1800000,3600000,216,465,2600000,Rejected
134,4,Not Graduate,1,6800000,13900000,96,479,9600000,Rejected
135,3,Not Graduate,0,1500000,5500000,192,717,1300000,Approved
136,3,Graduate,0,1600000,5500000,144,425,900000,Rejected
137,2,Not Graduate,0,4600000,16700000,24,786,6100000,Approved
138,5,Not Graduate,1,2200000,6700000,72,382,1100000,Rejected
139,3,Not Graduate,1,2900000,8500000,144,564,1800000,Approved
140,0,Graduate,0,200000,700000,96,501,100000,Rejected
141,2,Not Graduate,1,2500000,9400000,120,727,3300000,Approved
142,4,Not Graduate,0,3600000,7500000,72,894,2800000,Approved
143,0,Graduate,1,5500000,16700000,216,829,5900000,Approved
144,4,Not Graduate,0,6600000,17400000,240,506,7200000,Rejected
145,2,Graduate,1,8600000,32100000,72,802,9800000,Approved
146,5,Not Graduate,0,600000,1500000,168,543,300000,Rejected
147,3,Graduate,1,1400000,3200000,240,772,1600000,Approved
