Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression (CV),0.9103953147877012,0.9259953161592506,0.9303529411764706,0.9281690140845068,0.9674947560419516
Random Forest (CV),0.9973645680819913,0.9971804511278196,0.9985882352941176,0.9978838466964496,0.9999803009575924
XGBoost (CV),0.996778916544656,0.9971777986829728,0.9976470588235294,0.9974123735591626,0.9995788417692658
XGBoost (CV),0.996778916544656,0.9971777986829728,0.9976470588235294,0.9974123735591626,0.9995788417692658
Logistic Regression (CV),0.9103953147877012,0.9259953161592506,0.9303529411764706,0.9281690140845068,0.9674947560419516
Random Forest (CV),0.9973645680819913,0.9971804511278196,0.9985882352941176,0.9978838466964496,0.9999803009575924
XGBoost (CV),0.996778916544656,0.9971777986829728,0.9976470588235294,0.9974123735591626,0.9995788417692658
Logistic Regression (CV),0.9103953147877012,0.9259953161592506,0.9303529411764706,0.9281690140845068,0.9674947560419516
Random Forest (CV),0.9976573938506588,0.9971817754814468,0.9990588235294118,0.998119417019276,0.999983401732786
XGBoost (CV),0.996778916544656,0.9971777986829728,0.9976470588235294,0.9974123735591626,0.9995788417692658
Logistic Regression (CV),0.9109809663250366,0.9268635724331928,0.9303529411764706,0.928604978863316,0.9669457364341086
Random Forest (CV),0.9961932650073206,0.99438202247191,0.999529411764706,0.9969490729875616,0.9964414044687642
XGBoost (CV),0.9944363103953148,0.993439550140581,0.9976470588235294,0.9955388588870628,0.997342453260374
Logistic Regression (CV),0.9109809663250366,0.9268635724331928,0.9303529411764706,0.928604978863316,0.9669457364341086
Random Forest (CV),0.9961932650073206,0.99438202247191,0.999529411764706,0.9969490729875616,0.9964414044687642
XGBoost (CV),0.9944363103953148,0.993439550140581,0.9976470588235294,0.9955388588870628,0.997342453260374
Logistic Regression (CV),0.9109809663250366,0.9268635724331928,0.9303529411764706,0.928604978863316,0.9669457364341086
Random Forest (CV),0.9961932650073206,0.99438202247191,0.999529411764706,0.9969490729875616,0.9964414044687642
XGBoost (CV),0.9944363103953148,0.993439550140581,0.9976470588235294,0.9955388588870628,0.997342453260374
Logistic Regression (CV),0.95,0.6111111111111112,0.25,0.3548387096774194,0.934347192159692
Random Forest (CV),0.978125,0.9274193548387096,0.6534090909090909,0.7666666666666666,0.9942993927368928
XGBoost (CV),0.9903125,0.9447852760736196,0.875,0.9085545722713864,0.9977227633477632
Logistic Regression (CV),0.98,0.64,0.2253521126760563,0.3333333333333333,0.963724179529076
Random Forest (CV),0.98875,0.8571428571428571,0.5915492957746479,0.7000000000000001,0.9920372345932418
XGBoost (CV),0.994375,0.9076923076923076,0.8309859154929577,0.8676470588235293,0.9975783110294878
Logistic Regression (CV),0.98,0.64,0.2253521126760563,0.3333333333333333,0.963724179529076
Random Forest (CV),0.98875,0.8571428571428571,0.5915492957746479,0.7000000000000001,0.9920372345932418
XGBoost (CV),0.994375,0.9076923076923076,0.8309859154929577,0.8676470588235293,0.9975783110294878
Logistic Regression (CV),0.834,0.8350582147477361,0.8730838593327321,0.8536477848798766,0.903165382914406
Random Forest (CV),0.9725,0.9749887336638126,0.9754283137962128,0.9752084741942756,0.9822020740922904
XGBoost (CV),0.973375,0.9739618406285072,0.9781334535617674,0.9760431897424362,0.9812332510051928
Logistic Regression (CV),0.9109809663250366,0.9268635724331928,0.9303529411764706,0.928604978863316,0.9669457364341086
Random Forest (CV),0.9961932650073206,0.99438202247191,0.999529411764706,0.9969490729875616,0.9964414044687642
XGBoost (CV),0.9944363103953148,0.993439550140581,0.9976470588235294,0.9955388588870628,0.997342453260374
Logistic Regression (CV),0.8313323572474378,0.4505494505494505,0.1469534050179211,0.2216216216216216,0.8094876069968374
Random Forest (CV),0.9402635431918008,0.8986486486486487,0.7150537634408602,0.7964071856287425,0.9332435707806896
XGBoost (CV),0.9332357247437776,0.8466386554621849,0.7222222222222222,0.7794970986460348,0.9472000481744518
Logistic Regression (CV),0.8313323572474378,0.4505494505494505,0.1469534050179211,0.2216216216216216,0.809478197924233
Random Forest (CV),0.9402635431918008,0.8986486486486487,0.7150537634408602,0.7964071856287425,0.9332435707806896
XGBoost (CV),0.9326500732064422,0.854978354978355,0.7078853046594982,0.7745098039215687,0.9470193939804517
Logistic Regression (CV),0.8497803806734993,0.4911242603550296,0.1627450980392157,0.2444771723122238,0.8263980290911545
Random Forest (CV),0.9642752562225476,0.9330357142857144,0.8196078431372549,0.872651356993737,0.9651786979852182
XGBoost (CV),0.95900439238653,0.8952991452991453,0.8215686274509804,0.8568507157464212,0.973490601059701
Logistic Regression (CV),0.9109809663250366,0.9268635724331928,0.9303529411764706,0.9286049788633162,0.9669431828545372
Random Forest (CV),0.9961932650073206,0.99438202247191,0.999529411764706,0.9969490729875616,0.9964414044687642
XGBoost (CV),0.9947291361639824,0.993905297702766,0.9976470588235294,0.99577266322217,0.9970743274053808
Logistic Regression (CV),0.9109809663250366,0.9268635724331928,0.9303529411764706,0.928604978863316,0.9669457364341086
Random Forest (CV),0.9961932650073206,0.99438202247191,0.999529411764706,0.9969490729875616,0.9964414044687642
XGBoost (CV),0.9944363103953148,0.993439550140581,0.9976470588235294,0.9955388588870627,0.9973424532603739
